"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
"No, it did not impact my decision ","20,920",73.90%,"10,194",74.90%,"10,535",73.00%,"2,331",74.5%-,"8,041",73.10%,"6,199",74.30%,"3,995",74.20%,354,76.80%,"6,297",75.00%,"2,190",74.00%,,,,,,,,,,
,,[73.1-74.7],,[73.7-76.0],,[71.9-74.1],,[71.4-77.3],,[71.8-74.4],,[72.9-75.7],,[72.5-75.9],,[70.7-81.9],,[73.5-76.4],,[71.5-76.4],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
† Among all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 17b. Respondents' intention to get the flu vaccine during the 2023-24 flu season, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023†",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C7. How likely are you to get the flu shot during the next flu season, that is, between September 1st, 2023 and March 31st, 2024? (n=11,993); (n(000s)=29.327)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"12,288",41.90%,"5,379",37.90%,"6,788",45.90%,856,25.5%-,"3,671",32.00%,"3,759",43.80%,"3,639",66.80%,362,76.80%,"4,598",53.5%-,"1,670",54.5%+,,,,,,,,,,
,,[41.0-42.8],,[36.6-39.1],,[44.6-47.1],,[22.7-28.4],,[30.7-33.4],,[42.3-45.4],,[64.9-68.7],,[70.8-81.9],,[51.9-55.1],,[51.8-57.3],,,,,,,,,,
Somewhat likely,"5,037",17.20%,"2,631",18.5%+,"2,366",16.00%,845,25.10%,"2,218",19.30%,"1,339",15.60%,618,11.30%,17,3.70%,"1,257",14.60%,519,16.90%,,,,,,,,,,
,,[16.5-17.9],,[17.5-19.5],,[15.1-16.9],,[22.4-28.1],,[18.2-20.5],,[14.5-16.8],,[10.2-12.7],,[1.9-7.1],,[13.5-15.8],,[15.0-19.1],,,,,,,,,,
Somewhat unlikely,"3,770",12.90%,"1,949",13.70%,"1,795",12.10%,535,15.90%,"1,730",15.10%,"1,111",13.00%,376,6.90%,18,3.80%,845,9.80%,265,8.60%,,,,,,,,,,
,,[12.3-13.5],,[12.9-14.6],,[11.3-13.0],,[13.7-18.4],,[14.1-16.2],,[11.9-14.1],,[6.0-8.0],,[2.0-7.3],,[8.9-10.8],,[7.2-10.3],,,,,,,,,,
Very unlikely,"7,298",24.90%,"3,753",26.40%,"3,449",23.30%,903,26.90%,"3,420",29.80%,"2,158",25.10%,747,13.70%,70,14.90%,"1,715",19.90%,564,18.40%,,,,,,,,,,
,,[24.1-25.7],,[25.3-27.6],,[22.3-24.4],,[24.1-29.8],,[28.5-31.1],,[23.8-26.6],,[12.4-15.1],,[10.8-20.2],,[18.7-21.3],,[16.4-20.7],,,,,,,,,,
Don't know,935,3.20%,492,3.5%-,402,2.70%,224,6.70%,433,3.80%,209,2.40%,66,1.20%,#,#,185,2.20%,44,1.40%,,,,,,,,,,
,,[2.9-3.5],,[3.0-4.0],,[2.3-3.2],,[5.2-8.5],,[3.3-4.4],,[2.0-3.0],,[0.9-1.7],,,,[1.7-2.7],,[0.9-2.3],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
† Among all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 18. Respondent knowledge, attitudes and beliefs about the flu vaccine, overall, by sex and by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8. Please indicate whether you agree with the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
"In general, the flu shot is safe (n=11,910); (n(000s)=29,127)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"15,961",54.80%,"7,704",54.5%+,"8,110",55.30%,"1,963",58.60%,"5,810",51.00%,"4,319",50.80%,"3,554",65.60%,315,68.00%,"5,121",59.90%,"1,812",59.60%,,,,,,,,,,
,,[53.9-55.7],,[53.2-55.8],,[54.0-56.6],,[55.3-61.8],,[49.6-52.5],,[49.2-52.4],,[63.7-67.4],,[61.5-73.8],,[58.3-61.5],,[56.8-62.3],,,,,,,,,,
Somewhat agree,"8,454",29.00%,"4,060",28.70%,"4,316",29.40%,919,27.40%,"3,530",31.00%,"2,703",31.80%,"1,205",22.20%,97,20.90%,"2,215",25.90%,888,29.20%,,,,,,,,,,
,,[28.2-29.8],,[27.6-29.9],,[28.3-30.6],,[24.6-30.4],,[29.7-32.4],,[30.3-33.3],,[20.6-23.9],,[16.0-26.8],,[24.5-27.3],,[26.7-31.8],,,,,,,,,,
Somewhat disagree,"1,660",5.70%,845,6.00%,785,5.40%,106,3.20%,719,6.30%,565,6.60%,258,4.80%,12,2.60%,458,5.40%,143,4.70%,,,,,,,,,,
,,[5.3-6.1],,[5.4-6.6],,[4.8-6.0],,[2.2-4.5],,[5.6-7.1],,[5.9-7.5],,[4.0-5.7],,[1.1-5.6],,[4.7-6.1],,[3.7-6.0],,,,,,,,,,
Strongly disagree,"1,045",3.60%,529,3.70%,497,3.40%,110,3.30%,502,4.40%,294,3.5%-,129,2.40%,10,2.20%,283,3.30%,72,2.40%,,,,,,,,,,
,,[3.3-3.9],,[3.3-4.3],,[3.0-3.9],,[2.3-4.7],,[3.8-5.0],,[2.9-4.1],,[1.8-3.1],,[0.9-5.1],,[2.8-3.9],,[1.7-3.4],,,,,,,,,,
Don't know,"2,008",6.90%,997,7.10%,959,6.5%+,251,7.5%-,827,7.30%,626,7.40%,275,5.10%,30,6.40%,474,5.5%+,127,4.20%,,,,,,,,,,
,,[6.5-7.4],,[6.4-7.7],,[5.9-7.2],,[5.9-9.4],,[6.5-8.0],,[6.6-8.2],,[4.3-6.0],,[3.8-10.5],,[4.9-6.3],,[3.2-5.4],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In general, the flu shot is not effective (n=11,894); (n(000s)=29,075)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"2,076",7.10%,"1,072",7.60%,975,6.70%,253,7.5%+,988,8.70%,562,6.60%,251,4.60%,22,4.80%,556,6.5%+,207,6.80%,,,,,,,,,,
,,[6.7-7.6],,[6.9-8.3],,[6.0-7.3],,[6.0-9.5],,[7.9-9.6],,[5.9-7.4],,[3.9-5.5],,[2.7-8.6],,[5.8-7.4],,[5.6-8.4],,,,,,,,,,
Somewhat agree,"6,310",21.70%,"3,012",21.40%,"3,230",22.00%,512,15.30%,"2,855",25.20%,"1,975",23.20%,901,16.60%,67,14.70%,"1,687",19.80%,657,21.80%,,,,,,,,,,
,,[21.0-22.5],,[20.3-22.4],,[21.0-23.1],,[13.1-17.8],,[23.9-26.4],,[21.9-24.6],,[15.2-18.2],,[10.6-20.1],,[18.6-21.1],,[19.5-24.1],,,,,,,,,,
Somewhat disagree,"9,294",32.00%,"4,563",32.30%,"4,661",31.80%,"1,111",33.10%,"3,668",32.30%,"2,796",32.90%,"1,620",29.90%,98,21.60%,"2,648",31.10%,"1,039",34.40%,,,,,,,,,,
,,[31.1-32.8],,[31.2-33.6],,[30.6-33.0],,[30.1-36.3],,[31.0-33.7],,[31.4-34.4],,[28.1-31.8],,[16.6-27.5],,[29.7-32.6],,[31.8-37.1],,,,,,,,,,
Strongly disagree,"8,655",29.80%,"4,046",28.70%,"4,524",30.90%,"1,059",31.60%,"2,741",24.20%,"2,386",28.10%,"2,233",41.20%,235,51.70%,"2,969",34.90%,974,32.30%,,,,,,,,,,
,,[29.0-30.6],,[27.5-29.9],,[29.7-32.0],,[28.6-34.7],,[22.9-25.4],,[26.7-29.5],,[39.3-43.2],,[45.0-58.3],,[33.4-36.5],,[29.7-34.9],,,,,,,,,,
Don't know,"2,740",9.40%,"1,412",10.00%,"1,268",8.70%,416,12.40%,"1,096",9.70%,784,9.20%,411,7.60%,33,7.20%,647,7.60%,141,4.70%,,,,,,,,,,
,,[8.9-10.0],,[9.3-10.8],,[8.0-9.4],,[10.4-14.7],,[8.8-10.6],,[8.3-10.2],,[6.6-8.7],,[4.5-11.5],,[6.8-8.5],,[3.6-6.0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You can get the flu from the flu shot (n=11,907); (n(000s)=29,121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"2,010",6.90%,950,6.70%,"1,039",7.10%,299,8.90%,869,7.60%,567,6.70%,246,4.5%+,29,6.20%,522,6.10%,231,7.60%,,,,,,,,,,
,,[6.5-7.4],,[6.1-7.4],,[6.5-7.8],,[7.2-11.0],,[6.9-8.5],,[5.9-7.5],,[3.8-5.4],,[3.7-10.2],,[5.4-7.0],,[6.3-9.2],,,,,,,,,,
Somewhat agree,"5,406",18.60%,"2,602",18.40%,"2,759",18.80%,681,20.30%,"2,195",19.30%,"1,679",19.70%,794,14.70%,58,12.30%,"1,615",19.00%,474,15.60%,,,,,,,,,,
,,[17.9-19.3],,[17.5-19.5],,[17.8-19.8],,[17.8-23.1],,[18.2-20.5],,[18.5-21.0],,[13.3-16.1],,[8.6-17.3],,[17.7-20.3],,[13.7-17.8],,,,,,,,,,
Somewhat disagree,"5,686",19.5%+,"2,773",19.70%,"2,841",19.30%,660,19.70%,"2,243",19.70%,"1,670",19.60%,"1,039",19.20%,73,15.70%,"1,581",18.60%,470,15.5%+,,,,,,,,,,
,,[18.8-20.2],,[18.7-20.7],,[18.4-20.4],,[17.2-22.4],,[18.6-20.9],,[18.4-20.9],,[17.7-20.8],,[11.5-21.0],,[17.3-19.8],,[13.6-17.6],,,,,,,,,,
Strongly disagree,"11,986",41.20%,"5,645",40.00%,"6,232",42.40%,"1,122",33.5%-,"4,475",39.40%,"3,585",42.10%,"2,585",47.70%,219,46.80%,"3,836",45.00%,"1,624",53.60%,,,,,,,,,,
,,[40.3-42.0],,[38.8-41.3],,[41.2-43.7],,[30.5-36.6],,[38.0-40.8],,[40.5-43.7],,[45.8-49.7],,[40.3-53.4],,[43.4-46.7],,[50.8-56.3],,,,,,,,,,
Don't know,"4,033",13.80%,"2,135",15.10%,"1,821",12.40%,590,17.60%,"1,585",13.90%,"1,017",11.90%,752,13.90%,89,19.00%,962,11.30%,233,7.70%,,,,,,,,,,
,,[13.2-14.5],,[14.2-16.1],,[11.6-13.3],,[15.2-20.2],,[13.0-15.0],,[11.0-13.0],,[12.6-15.3],,[14.4-24.7],,[10.3-12.4],,[6.3-9.3],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The benefits from the flu shot are greater than the risk of its side effects (n=11,914); (n(000s)=29,151)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"12,721",43.60%,"6,077",43.00%,"6,528",44.40%,"1,473",43.80%,"4,308",37.80%,"3,493",40.90%,"3,142",58.10%,306,65.30%,"4,346",51.00%,"1,619",53.40%,,,,,,,,,,
,,[42.7-44.5],,[41.7-44.3],,[43.1-45.6],,[40.6-47.0],,[36.4-39.3],,[39.4-42.5],,[56.2-60.1],,[58.8-71.3],,[49.4-52.6],,[50.6-56.1],,,,,,,,,,
Somewhat agree,"8,253",28.30%,"4,006",28.40%,"4,167",28.30%,930,27.60%,"3,373",29.60%,"2,575",30.20%,"1,296",24.00%,79,17.00%,"2,216",26.00%,792,26.10%,,,,,,,,,,
,,[27.5-29.1],,[27.2-29.5],,[27.2-29.5],,[24.8-30.7],,[28.3-31.0],,[28.8-31.7],,[22.3-25.7],,[12.6-22.5],,[24.6-27.4],,[23.7-28.6],,,,,,,,,,
Somewhat disagree,"3,033",10.40%,"1,469",10.40%,"1,537",10.40%,298,8.80%,"1,401",12.30%,967,11.30%,335,6.20%,32,6.90%,739,8.70%,271,8.90%,,,,,,,,,,
,,[9.9-11.0],,[9.6-11.2],,[9.7-11.2],,[7.2-10.9],,[11.4-13.3],,[10.4-12.4],,[5.3-7.2],,[4.2-11.0],,[7.8-9.6],,[7.5-10.7],,,,,,,,,,
Strongly disagree,"1,781",6.10%,916,6.5%-,834,5.70%,170,5.00%,867,7.60%,528,6.20%,194,3.60%,23,4.90%,457,5.40%,176,5.80%,,,,,,,,,,
,,[5.7-6.6],,[5.9-7.2],,[5.1-6.3],,[3.8-6.7],,[6.9-8.4],,[5.5-7.0],,[2.9-4.4],,[2.7-8.6],,[4.7-6.1],,[4.6-7.3],,,,,,,,,,
Don't know,"3,363",11.5%+,"1,657",11.70%,"1,642",11.20%,494,14.70%,"1,436",12.60%,967,11.30%,439,8.10%,27,5.90%,767,9.00%,176,5.80%,,,,,,,,,,
,,[11.0-12.1],,[10.9-12.6],,[10.4-12.0],,[12.5-17.1],,[11.7-13.6],,[10.4-12.4],,[7.1-9.3],,[3.5-9.8],,[8.1-10.0],,[4.6-7.2],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 19a. Percentage of respondents that received at least one dose of a COVID-19 vaccine, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D1. Have you received at least one dose of a COVID-19 vaccine that has been authorized for use among adults in Canada? (n=11,785); (n(000s)=28,779)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"27,201",94.5%+,13034,93.80%,"13,908",95.30%,"2,995",92.80%,"10,436",92.80%,"8,078",95.70%,"5,248",97.10%,444,95.40%,"8,070",95.10%,"2,957",97.10%,,,,,,,,,,
,,[94.1-94.9],,[93.1-94.4],,[94.7-95.8],,[90.9-94.4],,[92.0-93.5],,[95.0-96.3],,[96.3-97.7],,[91.8-97.5],,[94.4-95.8],,[96.0-97.9],,,,,,,,,,
No,"1,578",5.5%-,867,6.20%,691,4.70%,231,7.20%,807,7.20%,361,4.30%,157,2.90%,21,4.60%,413,4.90%,90,2.90%,,,,,,,,,,
,,[5.1-5.9],,[5.6-6.9],,[4.2-5.3],,[5.6-9.1],,[6.5-8.0],,[3.7-5.0],,[2.3-3.7],,[2.5-8.2],,[4.2-5.6],,[2.1-4.0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 vaccines refer to those that have been approved for use in Canada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 19b. Percentage of respondents that received at least one dose of a COVID-19 vaccine, by province/territory, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D1. Have you received at least one dose of a COVID-19 vaccine that has been authorized for use among adults in Canada? (n=11,785); (n(000s)=28,779)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,,Newfoundland and Labrador,,Prince Edward Island,,Nova Scotia,,New Brunswick,,Quebec,,Ontario,,Manitoba,,Saskatchewan,,Alberta,,British Columbia,,Yukon,,Northwest Territories,,Nunavut,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"27,201",94.5%+,402,96.90%,117,94.90%,752,96.20%,607,96.5%+,"6,337",95.40%,"10,511",94.80%,963,95.70%,754,91.40%,"2,916",91.90%,"3,765",93.80%,30,94.00%,#,#,#,#,,
,,[94.1-94.9],,[94.7-98.2],,[92.2-96.7],,[94.1-97.5],,[94.4-97.9],,[94.5-96.2],,[94.0-95.5],,[93.5-97.1],,[88.5-93.6],,[90.4-93.2],,[92.5-94.9],,[89.7-96.6],,,,,,
No,"1,578",5.5%-,13,3.10%,6,5.10%,30,3.80%,22,3.5%-,306,4.60%,577,5.20%,44,4.30%,71,8.60%,257,8.10%,249,6.20%,2,6.00%,#,#,#,#,,
,,[5.1-5.9],,[1.8-5.3],,[3.3-7.8],,[2.5-5.9],,[2.1-5.6],,[3.8-5.5],,[4.5-6.0],,[2.9-6.5],,[6.4-11.5],,[6.8-9.6],,[5.1-7.5],,[3.4-10.3],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 vaccines refer to those that have been approved for use in Canada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 19c. Number of doses of COVID-19 vaccine received, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D2. How many doses of the COVID-19 vaccines have you received so far? (n=11,110); (n(000s)=27,094)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One (1) dose,333,1.20%,174,1.30%,151,1.10%,74,2.5%+,178,1.70%,52,0.70%,21,0.40%,#,#,53,0.70%,12,0.40%,,,,,,,,,,
,,[1.0-1.5],,[1.1-1.7],,[0.8-1.4],,[1.6-3.8],,[1.4-2.2],,[0.4-1.0],,[0.2-0.8],,,,[0.4-1.0],,[0.2-1.0],,,,,,,,,,
Two (2) doses,"7,065",26.10%,"3,661",28.20%,"3,333",24.10%,"1,353",45.60%,"3,651",35.10%,"1,570",19.5%+,466,8.90%,25,5.5%+,"1,534",19.10%,668,22.80%,,,,,,,,,,
,,[25.3-26.9],,[27.0-29.4],,[23.0-25.2],,[42.2-49.1],,[33.7-36.6],,[18.3-20.8],,[7.8-10.1],,[3.1-9.5],,[17.8-20.4],,[20.5-25.2],,,,,,,,,,
Three (3) doses,"9,873",36.40%,"4,744",36.5%+,"5,043",36.40%,"1,124",37.80%,"4,195",40.30%,"3,273",40.70%,"1,229",23.5%-,53,12.00%,"2,715",33.70%,"1,207",41.10%,,,,,,,,,,
,,[35.6-37.3],,[35.3-37.8],,[35.2-37.7],,[34.5-41.3],,[38.9-41.8],,[39.1-42.3],,[21.8-25.2],,[8.3-17.1],,[32.2-35.3],,[38.4-44.0],,,,,,,,,,
Four (4) or more,"9,823",36.30%,"4,407",33.90%,"5,324",38.40%,418,14.10%,"2,374",22.80%,"3,151",39.20%,"3,520",67.20%,360,80.90%,"3,745",46.5%+,"1,047",35.70%,,,,,,,,,,
,,[35.4-37.2],,[32.7-35.2],,[37.2-39.7],,[11.8-16.6],,[21.6-24.1],,[37.6-40.8],,[65.3-69.1],,[75.0-85.7],,[44.9-48.2],,[33.0-38.4],,,,,,,,,,
D3. Was your vaccine Johnson and Johnson’s Janssen? (n=112); (n(000s)=297)¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,88,29.70%,63,38.90%,25,19.80%,#,#,46,28.20%,#,#,#,#,Nil,Nil,#,#,Nil,Nil,,,,,,,,,,
