Public_health_unit,Antigen,Age,Year,Coverage
North Bay Parry Sound District Health Unit,Tetanus,13,2023-2024,95.6
North Bay Parry Sound District Health Unit,Tetanus,14,2023-2024,70.9
North Bay Parry Sound District Health Unit,Tetanus,15,2023-2024,75
North Bay Parry Sound District Health Unit,Tetanus,16,2023-2024,76.9
North Bay Parry Sound District Health Unit,Varicella,5,2023-2024,57.7
North Bay Parry Sound District Health Unit,Varicella,6,2023-2024,73.1
North Bay Parry Sound District Health Unit,Varicella,8,2023-2024,93.2
North Bay Parry Sound District Health Unit,Varicella,9,2023-2024,95.1
North Bay Parry Sound District Health Unit,Varicella,10,2023-2024,94.6
North Bay Parry Sound District Health Unit,Varicella,11,2023-2024,94.6
North Bay Parry Sound District Health Unit,Varicella,12,2023-2024,94.7
Northwestern Health Unit,HepB,12,2023-2024,51.4
Northwestern Health Unit,HPV,12,2023-2024,47.8
Northwestern Health Unit,HepB,17,2023-2024,75.7
Northwestern Health Unit,HPV,17,2023-2024,72.2
Northwestern Health Unit,Rota,7,2023-2024,79.2
Northwestern Health Unit,Diphtheria,17,2023-2024,86.6
Northwestern Health Unit,MCV4,12,2023-2024,81.4
Northwestern Health Unit,Pertussis,17,2023-2024,86.7
Northwestern Health Unit,Tetanus,17,2023-2024,86.6
Northwestern Health Unit,Diphtheria,7,2023-2024,93.1
Northwestern Health Unit,Hib,7,2023-2024,88.8
Northwestern Health Unit,Measles,7,2023-2024,93.5
Northwestern Health Unit,Mumps,7,2023-2024,93.5
Northwestern Health Unit,Pertussis,7,2023-2024,93.1
Northwestern Health Unit,Pneumo,7,2023-2024,91.3
Northwestern Health Unit,Polio,7,2023-2024,94.4
Northwestern Health Unit,Tetanus,7,2023-2024,93.1
Northwestern Health Unit,Varicella,7,2023-2024,93.8
Northwestern Health Unit,MCV4,17,2023-2024,96.2
Northwestern Health Unit,MCC,7,2023-2024,97.8
Northwestern Health Unit,Measles,17,2023-2024,97
Northwestern Health Unit,Mumps,17,2023-2024,97
Northwestern Health Unit,Polio,17,2023-2024,96
Northwestern Health Unit,Rubella,7,2023-2024,98.7
Northwestern Health Unit,Rubella,17,2023-2024,98.2
Northwestern Health Unit,Diphtheria,5,2023-2024,85.7
Northwestern Health Unit,Diphtheria,6,2023-2024,90.3
Northwestern Health Unit,Diphtheria,8,2023-2024,94.9
Northwestern Health Unit,Diphtheria,9,2023-2024,96.8
Northwestern Health Unit,Diphtheria,10,2023-2024,97.1
Northwestern Health Unit,Diphtheria,11,2023-2024,96.6
Northwestern Health Unit,Diphtheria,12,2023-2024,97.7
Northwestern Health Unit,Diphtheria,13,2023-2024,97
Northwestern Health Unit,Diphtheria,14,2023-2024,82
Northwestern Health Unit,Diphtheria,15,2023-2024,86.7
Northwestern Health Unit,Diphtheria,16,2023-2024,87
Northwestern Health Unit,HepB,13,2023-2024,63.3
Northwestern Health Unit,HepB,14,2023-2024,61.4
Northwestern Health Unit,HepB,15,2023-2024,49.5
Northwestern Health Unit,HepB,16,2023-2024,66.1
Northwestern Health Unit,Hib,5,2023-2024,84.8
Northwestern Health Unit,Hib,6,2023-2024,86.4
Northwestern Health Unit,Hib,8,2023-2024,91
Northwestern Health Unit,Hib,9,2023-2024,89.7
Northwestern Health Unit,Hib,10,2023-2024,89
Northwestern Health Unit,Hib,11,2023-2024,87.7
Northwestern Health Unit,Hib,12,2023-2024,85.7
Northwestern Health Unit,HPV,13,2023-2024,61.7
Northwestern Health Unit,HPV,14,2023-2024,59.2
Northwestern Health Unit,HPV,15,2023-2024,47
Northwestern Health Unit,HPV,16,2023-2024,66.8
Northwestern Health Unit,MCC,5,2023-2024,96.2
Northwestern Health Unit,MCC,6,2023-2024,97.3
Northwestern Health Unit,MCC,8,2023-2024,96.8
Northwestern Health Unit,MCC,9,2023-2024,97.9
Northwestern Health Unit,MCC,10,2023-2024,97.9
Northwestern Health Unit,MCC,11,2023-2024,97.4
Northwestern Health Unit,MCC,12,2023-2024,98.4
Northwestern Health Unit,MCV4,13,2023-2024,93.9
Northwestern Health Unit,MCV4,14,2023-2024,93.4
Northwestern Health Unit,MCV4,15,2023-2024,92
Northwestern Health Unit,MCV4,16,2023-2024,95.3
Northwestern Health Unit,Measles,5,2023-2024,86
Northwestern Health Unit,Measles,6,2023-2024,91.2
Northwestern Health Unit,Measles,8,2023-2024,95.3
Northwestern Health Unit,Measles,9,2023-2024,96.5
Northwestern Health Unit,Measles,10,2023-2024,97.4
Northwestern Health Unit,Measles,11,2023-2024,97
Northwestern Health Unit,Measles,12,2023-2024,97.5
Northwestern Health Unit,Measles,13,2023-2024,98.1
Northwestern Health Unit,Measles,14,2023-2024,97.7
Northwestern Health Unit,Measles,15,2023-2024,97.9
Northwestern Health Unit,Measles,16,2023-2024,97.7
Northwestern Health Unit,Mumps,5,2023-2024,85.9
Northwestern Health Unit,Mumps,6,2023-2024,91
Northwestern Health Unit,Mumps,8,2023-2024,95.2
Northwestern Health Unit,Mumps,9,2023-2024,96.5
Northwestern Health Unit,Mumps,10,2023-2024,97.2
Northwestern Health Unit,Mumps,11,2023-2024,97
Northwestern Health Unit,Mumps,12,2023-2024,97.6
Northwestern Health Unit,Mumps,13,2023-2024,98.1
Northwestern Health Unit,Mumps,14,2023-2024,97.7
Northwestern Health Unit,Mumps,15,2023-2024,97.9
Northwestern Health Unit,Mumps,16,2023-2024,97.7
Northwestern Health Unit,Pertussis,5,2023-2024,85.7
Northwestern Health Unit,Pertussis,6,2023-2024,90.3
Northwestern Health Unit,Pertussis,8,2023-2024,94.9
Northwestern Health Unit,Pertussis,9,2023-2024,96.8
Northwestern Health Unit,Pertussis,10,2023-2024,97.1
Northwestern Health Unit,Pertussis,11,2023-2024,96.6
Northwestern Health Unit,Pertussis,12,2023-2024,97.6
Northwestern Health Unit,Pertussis,13,2023-2024,97
Northwestern Health Unit,Pertussis,14,2023-2024,82
Northwestern Health Unit,Pertussis,15,2023-2024,86.5
Northwestern Health Unit,Pertussis,16,2023-2024,87.2
Northwestern Health Unit,Pneumo,5,2023-2024,89.7
Northwestern Health Unit,Pneumo,6,2023-2024,89.8
Northwestern Health Unit,Pneumo,8,2023-2024,91.2
Northwestern Health Unit,Pneumo,9,2023-2024,91.7
Northwestern Health Unit,Pneumo,10,2023-2024,88.6
Northwestern Health Unit,Pneumo,11,2023-2024,87.2
Northwestern Health Unit,Pneumo,12,2023-2024,85.7
Northwestern Health Unit,Polio,5,2023-2024,87.3
Northwestern Health Unit,Polio,6,2023-2024,91.5
Northwestern Health Unit,Polio,8,2023-2024,95.2
Northwestern Health Unit,Polio,9,2023-2024,96.5
Northwestern Health Unit,Polio,10,2023-2024,97.6
Northwestern Health Unit,Polio,11,2023-2024,97.2
Northwestern Health Unit,Polio,12,2023-2024,97.9
Northwestern Health Unit,Polio,13,2023-2024,97.8
Northwestern Health Unit,Polio,14,2023-2024,97.3
Northwestern Health Unit,Polio,15,2023-2024,96.8
Northwestern Health Unit,Polio,16,2023-2024,96.5
Northwestern Health Unit,Rota,5,2023-2024,73.6
Northwestern Health Unit,Rota,6,2023-2024,76.5
Northwestern Health Unit,Rubella,5,2023-2024,97.3
Northwestern Health Unit,Rubella,6,2023-2024,97.6
Northwestern Health Unit,Rubella,8,2023-2024,97.2
Northwestern Health Unit,Rubella,9,2023-2024,98.3
Northwestern Health Unit,Rubella,10,2023-2024,98.3
Northwestern Health Unit,Rubella,11,2023-2024,98.2
Northwestern Health Unit,Rubella,12,2023-2024,98.4
Northwestern Health Unit,Rubella,13,2023-2024,98.8
Northwestern Health Unit,Rubella,14,2023-2024,98.8
Northwestern Health Unit,Rubella,15,2023-2024,98.5
Northwestern Health Unit,Rubella,16,2023-2024,98.1
Northwestern Health Unit,Tetanus,5,2023-2024,85.7
Northwestern Health Unit,Tetanus,6,2023-2024,90.3
Northwestern Health Unit,Tetanus,8,2023-2024,94.9
Northwestern Health Unit,Tetanus,9,2023-2024,96.8
Northwestern Health Unit,Tetanus,10,2023-2024,97.1
Northwestern Health Unit,Tetanus,11,2023-2024,96.6
Northwestern Health Unit,Tetanus,12,2023-2024,97.7
Northwestern Health Unit,Tetanus,13,2023-2024,97
Northwestern Health Unit,Tetanus,14,2023-2024,82
Northwestern Health Unit,Tetanus,15,2023-2024,86.7
Northwestern Health Unit,Tetanus,16,2023-2024,87
Northwestern Health Unit,Varicella,5,2023-2024,84.2
Northwestern Health Unit,Varicella,6,2023-2024,89.2
Northwestern Health Unit,Varicella,8,2023-2024,94.6
Northwestern Health Unit,Varicella,9,2023-2024,95.9
Northwestern Health Unit,Varicella,10,2023-2024,96.5
Northwestern Health Unit,Varicella,11,2023-2024,96.6
Northwestern Health Unit,Varicella,12,2023-2024,96.9
Ottawa Public Health,Diphtheria,17,2023-2024,58.8
Ottawa Public Health,Pertussis,17,2023-2024,58.9
Ottawa Public Health,Tetanus,17,2023-2024,58.8
Ottawa Public Health,Diphtheria,7,2023-2024,62.5
Ottawa Public Health,Hib,7,2023-2024,67.4
Ottawa Public Health,Measles,7,2023-2024,64
Ottawa Public Health,Mumps,7,2023-2024,63.7
Ottawa Public Health,Pertussis,7,2023-2024,62.4
Ottawa Public Health,Pneumo,7,2023-2024,66.8
Ottawa Public Health,Polio,7,2023-2024,62.6
Ottawa Public Health,Rota,7,2023-2024,60.5
Ottawa Public Health,Tetanus,7,2023-2024,62.5
Ottawa Public Health,Varicella,7,2023-2024,61.9
Ottawa Public Health,HepB,12,2023-2024,69.3
Ottawa Public Health,HPV,12,2023-2024,60.6
Ottawa Public Health,HPV,17,2023-2024,67.3
Ottawa Public Health,HepB,17,2023-2024,74.5
Ottawa Public Health,MCC,7,2023-2024,74.6
Ottawa Public Health,Rubella,7,2023-2024,77.6
Ottawa Public Health,MCV4,12,2023-2024,82.5
Ottawa Public Health,MCV4,17,2023-2024,88.5
Ottawa Public Health,Polio,17,2023-2024,88.1
Ottawa Public Health,Measles,17,2023-2024,90.3
Ottawa Public Health,Mumps,17,2023-2024,90
Ottawa Public Health,Rubella,17,2023-2024,92.6
Ottawa Public Health,Diphtheria,5,2023-2024,28.8
Ottawa Public Health,Diphtheria,6,2023-2024,31
Ottawa Public Health,Diphtheria,8,2023-2024,77.7
Ottawa Public Health,Diphtheria,9,2023-2024,58.8
Ottawa Public Health,Diphtheria,10,2023-2024,61.5
Ottawa Public Health,Diphtheria,11,2023-2024,78.6
Ottawa Public Health,Diphtheria,12,2023-2024,86.8
Ottawa Public Health,Diphtheria,13,2023-2024,87.6
Ottawa Public Health,Diphtheria,14,2023-2024,45.8
Ottawa Public Health,Diphtheria,15,2023-2024,41.2
Ottawa Public Health,Diphtheria,16,2023-2024,40.2
Ottawa Public Health,HepB,13,2023-2024,71.6
Ottawa Public Health,HepB,14,2023-2024,75.9
Ottawa Public Health,HepB,15,2023-2024,66.3
Ottawa Public Health,HepB,16,2023-2024,51.8
Ottawa Public Health,Hib,5,2023-2024,42.9
Ottawa Public Health,Hib,6,2023-2024,48.7
Ottawa Public Health,Hib,8,2023-2024,80.3
Ottawa Public Health,Hib,9,2023-2024,77
Ottawa Public Health,Hib,10,2023-2024,78.6
Ottawa Public Health,Hib,11,2023-2024,78.8
Ottawa Public Health,Hib,12,2023-2024,77.1
Ottawa Public Health,HPV,13,2023-2024,63.3
Ottawa Public Health,HPV,14,2023-2024,68.8
Ottawa Public Health,HPV,15,2023-2024,57.9
Ottawa Public Health,HPV,16,2023-2024,39
Ottawa Public Health,MCC,5,2023-2024,48.4
Ottawa Public Health,MCC,6,2023-2024,53.6
Ottawa Public Health,MCC,8,2023-2024,88
Ottawa Public Health,MCC,9,2023-2024,85.2
Ottawa Public Health,MCC,10,2023-2024,87.2
Ottawa Public Health,MCC,11,2023-2024,88
Ottawa Public Health,MCC,12,2023-2024,96
Ottawa Public Health,MCV4,13,2023-2024,85
Ottawa Public Health,MCV4,14,2023-2024,86.4
Ottawa Public Health,MCV4,15,2023-2024,79.3
Ottawa Public Health,MCV4,16,2023-2024,82.8
Ottawa Public Health,Measles,5,2023-2024,29.9
Ottawa Public Health,Measles,6,2023-2024,32.1
Ottawa Public Health,Measles,8,2023-2024,78.6
Ottawa Public Health,Measles,9,2023-2024,59.6
Ottawa Public Health,Measles,10,2023-2024,62.5
Ottawa Public Health,Measles,11,2023-2024,79.8
Ottawa Public Health,Measles,12,2023-2024,88.1
Ottawa Public Health,Measles,13,2023-2024,89.2
Ottawa Public Health,Measles,14,2023-2024,89.9
Ottawa Public Health,Measles,15,2023-2024,89.4
Ottawa Public Health,Measles,16,2023-2024,88.7
Ottawa Public Health,Mumps,5,2023-2024,29.6
Ottawa Public Health,Mumps,6,2023-2024,31.8
Ottawa Public Health,Mumps,8,2023-2024,78.3
Ottawa Public Health,Mumps,9,2023-2024,59.4
Ottawa Public Health,Mumps,10,2023-2024,62.1
Ottawa Public Health,Mumps,11,2023-2024,79.5
Ottawa Public Health,Mumps,12,2023-2024,87.9
Ottawa Public Health,Mumps,13,2023-2024,89
Ottawa Public Health,Mumps,14,2023-2024,89.6
Ottawa Public Health,Mumps,15,2023-2024,89.2
Ottawa Public Health,Mumps,16,2023-2024,88.5
Ottawa Public Health,Pertussis,5,2023-2024,28.7
Ottawa Public Health,Pertussis,6,2023-2024,30.9
Ottawa Public Health,Pertussis,8,2023-2024,77.6
Ottawa Public Health,Pertussis,9,2023-2024,58.6
Ottawa Public Health,Pertussis,10,2023-2024,61.3
Ottawa Public Health,Pertussis,11,2023-2024,78.4
Ottawa Public Health,Pertussis,12,2023-2024,86.6
Ottawa Public Health,Pertussis,13,2023-2024,87.4
Ottawa Public Health,Pertussis,14,2023-2024,45.4
Ottawa Public Health,Pertussis,15,2023-2024,41
Ottawa Public Health,Pertussis,16,2023-2024,40.2
Ottawa Public Health,Pneumo,5,2023-2024,44.8
Ottawa Public Health,Pneumo,6,2023-2024,49.1
Ottawa Public Health,Pneumo,8,2023-2024,78.8
Ottawa Public Health,Pneumo,9,2023-2024,74.6
Ottawa Public Health,Pneumo,10,2023-2024,74.9
Ottawa Public Health,Pneumo,11,2023-2024,74.6
Ottawa Public Health,Pneumo,12,2023-2024,71.7
Ottawa Public Health,Polio,5,2023-2024,29
Ottawa Public Health,Polio,6,2023-2024,31
Ottawa Public Health,Polio,8,2023-2024,78.2
Ottawa Public Health,Polio,9,2023-2024,59.4
Ottawa Public Health,Polio,10,2023-2024,61.6
Ottawa Public Health,Polio,11,2023-2024,79.2
Ottawa Public Health,Polio,12,2023-2024,87.4
Ottawa Public Health,Polio,13,2023-2024,88.5
Ottawa Public Health,Polio,14,2023-2024,88.7
Ottawa Public Health,Polio,15,2023-2024,87.4
Ottawa Public Health,Polio,16,2023-2024,86.9
Ottawa Public Health,Rota,5,2023-2024,39.9
Ottawa Public Health,Rota,6,2023-2024,45.3
Ottawa Public Health,Rubella,5,2023-2024,50.8
Ottawa Public Health,Rubella,6,2023-2024,56.7
Ottawa Public Health,Rubella,8,2023-2024,90.1
Ottawa Public Health,Rubella,9,2023-2024,87.1
Ottawa Public Health,Rubella,10,2023-2024,89
Ottawa Public Health,Rubella,11,2023-2024,89.9
Ottawa Public Health,Rubella,12,2023-2024,91.2
Ottawa Public Health,Rubella,13,2023-2024,91.9
Ottawa Public Health,Rubella,14,2023-2024,92
Ottawa Public Health,Rubella,15,2023-2024,91.5
Ottawa Public Health,Rubella,16,2023-2024,91.1
Ottawa Public Health,Tetanus,5,2023-2024,28.8
Ottawa Public Health,Tetanus,6,2023-2024,31
Ottawa Public Health,Tetanus,8,2023-2024,77.7
Ottawa Public Health,Tetanus,9,2023-2024,58.8
Ottawa Public Health,Tetanus,10,2023-2024,61.5
Ottawa Public Health,Tetanus,11,2023-2024,78.6
Ottawa Public Health,Tetanus,12,2023-2024,86.8
Ottawa Public Health,Tetanus,13,2023-2024,87.6
Ottawa Public Health,Tetanus,14,2023-2024,45.8
Ottawa Public Health,Tetanus,15,2023-2024,41.3
Ottawa Public Health,Tetanus,16,2023-2024,40.2
Ottawa Public Health,Varicella,5,2023-2024,28.1
Ottawa Public Health,Varicella,6,2023-2024,30.4
Ottawa Public Health,Varicella,8,2023-2024,76.7
Ottawa Public Health,Varicella,9,2023-2024,55.9
Ottawa Public Health,Varicella,10,2023-2024,57.5
Ottawa Public Health,Varicella,11,2023-2024,77.4
Ottawa Public Health,Varicella,12,2023-2024,86.2
Peel Public Health,Diphtheria,7,2023-2024,35.8
Peel Public Health,Measles,7,2023-2024,35.7
Peel Public Health,Mumps,7,2023-2024,35.1
Peel Public Health,Pertussis,7,2023-2024,35.6
Peel Public Health,Polio,7,2023-2024,35.1
Peel Public Health,Tetanus,7,2023-2024,35.8
Peel Public Health,Varicella,7,2023-2024,32.9
Peel Public Health,Diphtheria,17,2023-2024,34.5
Peel Public Health,HepB,12,2023-2024,52.6
Peel Public Health,HPV,12,2023-2024,35.1
Peel Public Health,Pertussis,17,2023-2024,37.4
Peel Public Health,Tetanus,17,2023-2024,34.6
Peel Public Health,Hib,7,2023-2024,64.9
Peel Public Health,Pneumo,7,2023-2024,62.2
Peel Public Health,Rota,7,2023-2024,64.5
Peel Public Health,HPV,17,2023-2024,67.6
Peel Public Health,MCV4,12,2023-2024,69.1
Peel Public Health,HepB,17,2023-2024,75.1
Peel Public Health,MCC,7,2023-2024,70.4
Peel Public Health,Rubella,7,2023-2024,77.5
Peel Public Health,MCV4,17,2023-2024,86.9
Peel Public Health,Measles,17,2023-2024,89.6
Peel Public Health,Mumps,17,2023-2024,89.4
Peel Public Health,Polio,17,2023-2024,87.8
Peel Public Health,Rubella,17,2023-2024,91.3
Peel Public Health,Diphtheria,5,2023-2024,40.6
Peel Public Health,Diphtheria,6,2023-2024,48.7
Peel Public Health,Diphtheria,8,2023-2024,59.6
Peel Public Health,Diphtheria,9,2023-2024,63.7
Peel Public Health,Diphtheria,10,2023-2024,40.1
Peel Public Health,Diphtheria,11,2023-2024,72
Peel Public Health,Diphtheria,12,2023-2024,85
Peel Public Health,Diphtheria,13,2023-2024,87.6
Peel Public Health,Diphtheria,14,2023-2024,35.7
Peel Public Health,Diphtheria,15,2023-2024,31.9
Peel Public Health,Diphtheria,16,2023-2024,44.4
Peel Public Health,HepB,13,2023-2024,69.5
Peel Public Health,HepB,14,2023-2024,47.6
Peel Public Health,HepB,15,2023-2024,47.4
Peel Public Health,HepB,16,2023-2024,51.8
Peel Public Health,Hib,5,2023-2024,71.3
Peel Public Health,Hib,6,2023-2024,70.5
Peel Public Health,Hib,8,2023-2024,73.9
Peel Public Health,Hib,9,2023-2024,74.7
Peel Public Health,Hib,10,2023-2024,73.7
Peel Public Health,Hib,11,2023-2024,74.6
Peel Public Health,Hib,12,2023-2024,73.6
Peel Public Health,HPV,13,2023-2024,59.3
Peel Public Health,HPV,14,2023-2024,32
Peel Public Health,HPV,15,2023-2024,30.5
Peel Public Health,HPV,16,2023-2024,34.2
Peel Public Health,MCC,5,2023-2024,80.4
Peel Public Health,MCC,6,2023-2024,80.6
Peel Public Health,MCC,8,2023-2024,80.5
Peel Public Health,MCC,9,2023-2024,84.5
Peel Public Health,MCC,10,2023-2024,83.6
Peel Public Health,MCC,11,2023-2024,85.9
Peel Public Health,MCC,12,2023-2024,93
Peel Public Health,MCV4,13,2023-2024,79.8
Peel Public Health,MCV4,14,2023-2024,69
Peel Public Health,MCV4,15,2023-2024,64.6
Peel Public Health,MCV4,16,2023-2024,79.6
Peel Public Health,Measles,5,2023-2024,39
Peel Public Health,Measles,6,2023-2024,47
Peel Public Health,Measles,8,2023-2024,59.5
Peel Public Health,Measles,9,2023-2024,62.2
Peel Public Health,Measles,10,2023-2024,38.3
Peel Public Health,Measles,11,2023-2024,71.4
Peel Public Health,Measles,12,2023-2024,85.3
Peel Public Health,Measles,13,2023-2024,88.3
Peel Public Health,Measles,14,2023-2024,88.2
Peel Public Health,Measles,15,2023-2024,88.9
Peel Public Health,Measles,16,2023-2024,89.1
Peel Public Health,Mumps,5,2023-2024,37.8
Peel Public Health,Mumps,6,2023-2024,45.9
Peel Public Health,Mumps,8,2023-2024,58.9
Peel Public Health,Mumps,9,2023-2024,61.6
Peel Public Health,Mumps,10,2023-2024,37.5
Peel Public Health,Mumps,11,2023-2024,71
Peel Public Health,Mumps,12,2023-2024,85
Peel Public Health,Mumps,13,2023-2024,88
Peel Public Health,Mumps,14,2023-2024,87.9
Peel Public Health,Mumps,15,2023-2024,88.7
Peel Public Health,Mumps,16,2023-2024,88.9
Peel Public Health,Pertussis,5,2023-2024,40.5
Peel Public Health,Pertussis,6,2023-2024,48.5
Peel Public Health,Pertussis,8,2023-2024,59.4
Peel Public Health,Pertussis,9,2023-2024,63.5
Peel Public Health,Pertussis,10,2023-2024,39.8
Peel Public Health,Pertussis,11,2023-2024,71.7
Peel Public Health,Pertussis,12,2023-2024,84.8
Peel Public Health,Pertussis,13,2023-2024,87.4
Peel Public Health,Pertussis,14,2023-2024,35.9
Peel Public Health,Pertussis,15,2023-2024,32.6
Peel Public Health,Pertussis,16,2023-2024,45.4
Peel Public Health,Pneumo,5,2023-2024,68.7
Peel Public Health,Pneumo,6,2023-2024,67.4
Peel Public Health,Pneumo,8,2023-2024,69.1
Peel Public Health,Pneumo,9,2023-2024,69.4
Peel Public Health,Pneumo,10,2023-2024,68.8
Peel Public Health,Pneumo,11,2023-2024,67.6
Peel Public Health,Pneumo,12,2023-2024,64.8
Peel Public Health,Polio,5,2023-2024,40.5
Peel Public Health,Polio,6,2023-2024,48.1
Peel Public Health,Polio,8,2023-2024,59.4
Peel Public Health,Polio,9,2023-2024,63.4
Peel Public Health,Polio,10,2023-2024,39.4
Peel Public Health,Polio,11,2023-2024,71.6
Peel Public Health,Polio,12,2023-2024,84.9
Peel Public Health,Polio,13,2023-2024,87.8
Peel Public Health,Polio,14,2023-2024,87.5
Peel Public Health,Polio,15,2023-2024,87.2
Peel Public Health,Polio,16,2023-2024,87.3
Peel Public Health,Rota,5,2023-2024,65.2
Peel Public Health,Rota,6,2023-2024,68.9
Peel Public Health,Rubella,5,2023-2024,84.3
Peel Public Health,Rubella,6,2023-2024,84.8
Peel Public Health,Rubella,8,2023-2024,86.5
Peel Public Health,Rubella,9,2023-2024,89.6
Peel Public Health,Rubella,10,2023-2024,88.7
Peel Public Health,Rubella,11,2023-2024,90.5
Peel Public Health,Rubella,12,2023-2024,90.2
Peel Public Health,Rubella,13,2023-2024,92.3
Peel Public Health,Rubella,14,2023-2024,90.8
Peel Public Health,Rubella,15,2023-2024,91
Peel Public Health,Rubella,16,2023-2024,91.2
Peel Public Health,Tetanus,5,2023-2024,40.6
Peel Public Health,Tetanus,6,2023-2024,48.7
Peel Public Health,Tetanus,8,2023-2024,59.6
Peel Public Health,Tetanus,9,2023-2024,63.7
Peel Public Health,Tetanus,10,2023-2024,40
Peel Public Health,Tetanus,11,2023-2024,72.1
Peel Public Health,Tetanus,12,2023-2024,85.1
Peel Public Health,Tetanus,13,2023-2024,87.6
Peel Public Health,Tetanus,14,2023-2024,35.7
Peel Public Health,Tetanus,15,2023-2024,31.9
Peel Public Health,Tetanus,16,2023-2024,44.4
Peel Public Health,Varicella,5,2023-2024,36
Peel Public Health,Varicella,6,2023-2024,43.6
Peel Public Health,Varicella,8,2023-2024,56.5
Peel Public Health,Varicella,9,2023-2024,58.2
Peel Public Health,Varicella,10,2023-2024,31.3
Peel Public Health,Varicella,11,2023-2024,66.9
Peel Public Health,Varicella,12,2023-2024,82.8
Peterborough Public Health,Diphtheria,17,2023-2024,44.9
Peterborough Public Health,HPV,12,2023-2024,59.5
Peterborough Public Health,Pertussis,17,2023-2024,44.8
Peterborough Public Health,Tetanus,17,2023-2024,45.1
Peterborough Public Health,HepB,12,2023-2024,63.3
Peterborough Public Health,HepB,17,2023-2024,79.9
Peterborough Public Health,HPV,17,2023-2024,74.7
Peterborough Public Health,MCV4,12,2023-2024,77.4
Peterborough Public Health,Rota,7,2023-2024,82.8
Peterborough Public Health,Diphtheria,7,2023-2024,91.6
Peterborough Public Health,Hib,7,2023-2024,85.9
Peterborough Public Health,Measles,7,2023-2024,92.1
Peterborough Public Health,Mumps,7,2023-2024,92
Peterborough Public Health,Pertussis,7,2023-2024,91.6
Peterborough Public Health,Pneumo,7,2023-2024,85.9
Peterborough Public Health,Polio,7,2023-2024,92.6
Peterborough Public Health,Tetanus,7,2023-2024,91.6
Peterborough Public Health,Varicella,7,2023-2024,91.4
Peterborough Public Health,Measles,17,2023-2024,94.8
Peterborough Public Health,Mumps,17,2023-2024,94.8
Peterborough Public Health,Polio,17,2023-2024,92.6
Peterborough Public Health,MCV4,17,2023-2024,91.8
Peterborough Public Health,MCC,7,2023-2024,95.3
Peterborough Public Health,Rubella,7,2023-2024,96.3
Peterborough Public Health,Rubella,17,2023-2024,96.5
Peterborough Public Health,Diphtheria,5,2023-2024,52
Peterborough Public Health,Diphtheria,6,2023-2024,58.8
Peterborough Public Health,Diphtheria,8,2023-2024,71.6
Peterborough Public Health,Diphtheria,9,2023-2024,88.1
Peterborough Public Health,Diphtheria,10,2023-2024,80.7
Peterborough Public Health,Diphtheria,11,2023-2024,82.6
Peterborough Public Health,Diphtheria,12,2023-2024,93
Peterborough Public Health,Diphtheria,13,2023-2024,93.7
Peterborough Public Health,Diphtheria,14,2023-2024,71
Peterborough Public Health,Diphtheria,15,2023-2024,80.9
Peterborough Public Health,Diphtheria,16,2023-2024,58
Peterborough Public Health,HepB,13,2023-2024,71.2
Peterborough Public Health,HepB,14,2023-2024,64.4
Peterborough Public Health,HepB,15,2023-2024,59.7
Peterborough Public Health,HepB,16,2023-2024,67.1
Peterborough Public Health,Hib,5,2023-2024,72.4
Peterborough Public Health,Hib,6,2023-2024,72.9
Peterborough Public Health,Hib,8,2023-2024,80.3
Peterborough Public Health,Hib,9,2023-2024,87.9
Peterborough Public Health,Hib,10,2023-2024,88.6
Peterborough Public Health,Hib,11,2023-2024,87.8
Peterborough Public Health,Hib,12,2023-2024,87.5
Peterborough Public Health,HPV,13,2023-2024,66.6
Peterborough Public Health,HPV,14,2023-2024,59.7
Peterborough Public Health,HPV,15,2023-2024,53.7
Peterborough Public Health,HPV,16,2023-2024,63.5
Peterborough Public Health,MCC,5,2023-2024,81.2
Peterborough Public Health,MCC,6,2023-2024,80.6
Peterborough Public Health,MCC,8,2023-2024,86.6
Peterborough Public Health,MCC,9,2023-2024,94.4
Peterborough Public Health,MCC,10,2023-2024,95.1
Peterborough Public Health,MCC,11,2023-2024,95.5
Peterborough Public Health,MCC,12,2023-2024,97.3
Peterborough Public Health,MCV4,13,2023-2024,84.8
Peterborough Public Health,MCV4,14,2023-2024,84.7
Peterborough Public Health,MCV4,15,2023-2024,90.1
Peterborough Public Health,MCV4,16,2023-2024,88.1
Peterborough Public Health,Measles,5,2023-2024,50.4
Peterborough Public Health,Measles,6,2023-2024,58.6
Peterborough Public Health,Measles,8,2023-2024,72.2
Peterborough Public Health,Measles,9,2023-2024,87.5
Peterborough Public Health,Measles,10,2023-2024,81.3
Peterborough Public Health,Measles,11,2023-2024,83.5
Peterborough Public Health,Measles,12,2023-2024,94.4
Peterborough Public Health,Measles,13,2023-2024,94
Peterborough Public Health,Measles,14,2023-2024,93.6
Peterborough Public Health,Measles,15,2023-2024,95
Peterborough Public Health,Measles,16,2023-2024,94.3
Peterborough Public Health,Mumps,5,2023-2024,50.2
Peterborough Public Health,Mumps,6,2023-2024,58.3
Peterborough Public Health,Mumps,8,2023-2024,72
Peterborough Public Health,Mumps,9,2023-2024,87.5
Peterborough Public Health,Mumps,10,2023-2024,81.2
Peterborough Public Health,Mumps,11,2023-2024,83.4
Peterborough Public Health,Mumps,12,2023-2024,94.2
Peterborough Public Health,Mumps,13,2023-2024,94
