Public_health_unit,Antigen,Age,Year,Number_of_Doses,Proportion
Brant County Health Unit,Measles,7,2023-2024,1 dose,3.5
Brant County Health Unit,Measles,7,2019-2020,2 or more doses,86.5
Brant County Health Unit,Measles,7,2020-2021,2 or more doses,73.6
Brant County Health Unit,Measles,7,2021-2022,2 or more doses,79
Brant County Health Unit,Measles,7,2022-2023,2 or more doses,87.8
Brant County Health Unit,Measles,7,2023-2024,2 or more doses,92.1
Brant County Health Unit,HepB,12,2019-2020,0 doses,11.5
Brant County Health Unit,HepB,12,2020-2021,0 doses,21.6
Brant County Health Unit,HepB,12,2021-2022,0 doses,22.4
Brant County Health Unit,HepB,12,2022-2023,0 doses,23.5
Brant County Health Unit,HepB,12,2023-2024,0 doses,31.4
Brant County Health Unit,HepB,12,2019-2020,1 dose,11.5
Brant County Health Unit,HepB,12,2020-2021,1 dose,10.1
Brant County Health Unit,HepB,12,2021-2022,1 dose,9.3
Brant County Health Unit,HepB,12,2022-2023,1 dose,8.8
Brant County Health Unit,HepB,12,2023-2024,1 dose,18.4
Brant County Health Unit,HepB,12,2019-2020,2 doses,68.5
Brant County Health Unit,HepB,12,2020-2021,2 doses,59.9
Brant County Health Unit,HepB,12,2021-2022,2 doses,58.9
Brant County Health Unit,HepB,12,2022-2023,2 doses,59
Brant County Health Unit,HepB,12,2023-2024,2 doses,39.9
Brant County Health Unit,HepB,12,2019-2020,3 or more doses,8.5
Brant County Health Unit,HepB,12,2020-2021,3 or more doses,8.4
Brant County Health Unit,HepB,12,2021-2022,3 or more doses,9.4
Brant County Health Unit,HepB,12,2022-2023,3 or more doses,8.6
Brant County Health Unit,HepB,12,2023-2024,3 or more doses,10.2
Brant County Health Unit,HPV,12,2019-2020,0 doses,21
Brant County Health Unit,HPV,12,2020-2021,0 doses,31.1
Brant County Health Unit,HPV,12,2021-2022,0 doses,30.6
Brant County Health Unit,HPV,12,2022-2023,0 doses,31.7
Brant County Health Unit,HPV,12,2023-2024,0 doses,39.5
Brant County Health Unit,HPV,12,2019-2020,1 dose,10.8
Brant County Health Unit,HPV,12,2020-2021,1 dose,9.2
Brant County Health Unit,HPV,12,2021-2022,1 dose,8.2
Brant County Health Unit,HPV,12,2022-2023,1 dose,9.1
Brant County Health Unit,HPV,12,2023-2024,1 dose,20.4
Brant County Health Unit,HPV,12,2019-2020,2 doses,67.8
Brant County Health Unit,HPV,12,2020-2021,2 doses,59.6
Brant County Health Unit,HPV,12,2021-2022,2 doses,61.1
Brant County Health Unit,HPV,12,2022-2023,2 doses,59.1
Brant County Health Unit,HPV,12,2023-2024,2 doses,40.1
Brant County Health Unit,HPV,12,2019-2020,3 or more doses,0.4
Brant County Health Unit,HPV,12,2020-2021,3 or more doses,0.1
Brant County Health Unit,HPV,12,2021-2022,3 or more doses,0.1
Brant County Health Unit,HPV,12,2022-2023,3 or more doses,0.1
Brant County Health Unit,HPV,12,2023-2024,3 or more doses,0
Durham Region Health Department,Measles,7,2019-2020,0 doses,2.2
Durham Region Health Department,Measles,7,2020-2021,0 doses,2.4
Durham Region Health Department,Measles,7,2021-2022,0 doses,3.2
Durham Region Health Department,Measles,7,2022-2023,0 doses,6.2
Durham Region Health Department,Measles,7,2023-2024,0 doses,5.4
Durham Region Health Department,Measles,7,2019-2020,1 dose,4.5
Durham Region Health Department,Measles,7,2020-2021,1 dose,12.5
Durham Region Health Department,Measles,7,2021-2022,1 dose,24.1
Durham Region Health Department,Measles,7,2022-2023,1 dose,26.3
Durham Region Health Department,Measles,7,2023-2024,1 dose,7.9
Durham Region Health Department,Measles,7,2019-2020,2 or more doses,93.3
Durham Region Health Department,Measles,7,2020-2021,2 or more doses,85.1
Durham Region Health Department,Measles,7,2021-2022,2 or more doses,72.7
Durham Region Health Department,Measles,7,2022-2023,2 or more doses,67.5
Durham Region Health Department,Measles,7,2023-2024,2 or more doses,86.7
Durham Region Health Department,HepB,12,2019-2020,0 doses,8.3
Durham Region Health Department,HepB,12,2020-2021,0 doses,25.8
Durham Region Health Department,HepB,12,2021-2022,0 doses,13.7
Durham Region Health Department,HepB,12,2022-2023,0 doses,13.6
Durham Region Health Department,HepB,12,2023-2024,0 doses,16.5
Durham Region Health Department,HepB,12,2019-2020,1 dose,30.6
Durham Region Health Department,HepB,12,2020-2021,1 dose,27.4
Durham Region Health Department,HepB,12,2021-2022,1 dose,13.4
Durham Region Health Department,HepB,12,2022-2023,1 dose,5.6
Durham Region Health Department,HepB,12,2023-2024,1 dose,12.6
Durham Region Health Department,HepB,12,2019-2020,2 doses,41.8
Durham Region Health Department,HepB,12,2020-2021,2 doses,30.5
Durham Region Health Department,HepB,12,2021-2022,2 doses,54.8
Durham Region Health Department,HepB,12,2022-2023,2 doses,62.2
Durham Region Health Department,HepB,12,2023-2024,2 doses,51.9
Durham Region Health Department,HepB,12,2019-2020,3 or more doses,19.3
Durham Region Health Department,HepB,12,2020-2021,3 or more doses,16.2
Durham Region Health Department,HepB,12,2021-2022,3 or more doses,18.1
Durham Region Health Department,HepB,12,2022-2023,3 or more doses,18.6
Durham Region Health Department,HepB,12,2023-2024,3 or more doses,18.9
Durham Region Health Department,HPV,12,2019-2020,0 doses,15.7
Durham Region Health Department,HPV,12,2020-2021,0 doses,34.8
Durham Region Health Department,HPV,12,2021-2022,0 doses,21.5
Durham Region Health Department,HPV,12,2022-2023,0 doses,22
Durham Region Health Department,HPV,12,2023-2024,0 doses,25.8
Durham Region Health Department,HPV,12,2019-2020,1 dose,35.2
Durham Region Health Department,HPV,12,2020-2021,1 dose,31
Durham Region Health Department,HPV,12,2021-2022,1 dose,13.9
Durham Region Health Department,HPV,12,2022-2023,1 dose,5.8
Durham Region Health Department,HPV,12,2023-2024,1 dose,13.9
Durham Region Health Department,HPV,12,2019-2020,2 doses,48.4
Durham Region Health Department,HPV,12,2020-2021,2 doses,33.4
Durham Region Health Department,HPV,12,2021-2022,2 doses,64.1
Durham Region Health Department,HPV,12,2022-2023,2 doses,72.1
Durham Region Health Department,HPV,12,2023-2024,2 doses,60.2
Durham Region Health Department,HPV,12,2019-2020,3 or more doses,0.8
Durham Region Health Department,HPV,12,2020-2021,3 or more doses,0.8
Durham Region Health Department,HPV,12,2021-2022,3 or more doses,0.5
Durham Region Health Department,HPV,12,2022-2023,3 or more doses,0.2
Durham Region Health Department,HPV,12,2023-2024,3 or more doses,0
Grey Bruce Public Health,Measles,7,2019-2020,0 doses,4.1
Grey Bruce Public Health,Measles,7,2020-2021,0 doses,4.3
Grey Bruce Public Health,Measles,7,2021-2022,0 doses,4
Grey Bruce Public Health,Measles,7,2022-2023,0 doses,4.5
Grey Bruce Public Health,Measles,7,2023-2024,0 doses,5.1
Grey Bruce Public Health,Measles,7,2019-2020,1 dose,2.6
Grey Bruce Public Health,Measles,7,2020-2021,1 dose,13.1
Grey Bruce Public Health,Measles,7,2021-2022,1 dose,18.1
Grey Bruce Public Health,Measles,7,2022-2023,1 dose,12
Grey Bruce Public Health,Measles,7,2023-2024,1 dose,5.8
Grey Bruce Public Health,Measles,7,2019-2020,2 or more doses,93.2
Grey Bruce Public Health,Measles,7,2020-2021,2 or more doses,82.6
Grey Bruce Public Health,Measles,7,2021-2022,2 or more doses,77.9
Grey Bruce Public Health,Measles,7,2022-2023,2 or more doses,83.6
Grey Bruce Public Health,Measles,7,2023-2024,2 or more doses,89.1
Grey Bruce Public Health,HepB,12,2019-2020,0 doses,10.8
Grey Bruce Public Health,HepB,12,2020-2021,0 doses,15
Grey Bruce Public Health,HepB,12,2021-2022,0 doses,14.9
Grey Bruce Public Health,HepB,12,2022-2023,0 doses,13.6
Grey Bruce Public Health,HepB,12,2023-2024,0 doses,19.6
Grey Bruce Public Health,HepB,12,2019-2020,1 dose,9.6
Grey Bruce Public Health,HepB,12,2020-2021,1 dose,8.6
Grey Bruce Public Health,HepB,12,2021-2022,1 dose,5.4
Grey Bruce Public Health,HepB,12,2022-2023,1 dose,5.3
Grey Bruce Public Health,HepB,12,2023-2024,1 dose,14.7
Grey Bruce Public Health,HepB,12,2019-2020,2 doses,69.7
Grey Bruce Public Health,HepB,12,2020-2021,2 doses,65.8
Grey Bruce Public Health,HepB,12,2021-2022,2 doses,71.6
Grey Bruce Public Health,HepB,12,2022-2023,2 doses,74.9
Grey Bruce Public Health,HepB,12,2023-2024,2 doses,58.4
Grey Bruce Public Health,HepB,12,2019-2020,3 or more doses,9.9
Grey Bruce Public Health,HepB,12,2020-2021,3 or more doses,10.7
Grey Bruce Public Health,HepB,12,2021-2022,3 or more doses,8
Grey Bruce Public Health,HepB,12,2022-2023,3 or more doses,6.1
Grey Bruce Public Health,HepB,12,2023-2024,3 or more doses,7.3
Grey Bruce Public Health,HPV,12,2019-2020,0 doses,21.9
Grey Bruce Public Health,HPV,12,2020-2021,0 doses,26
Grey Bruce Public Health,HPV,12,2021-2022,0 doses,25.9
Grey Bruce Public Health,HPV,12,2022-2023,0 doses,25
Grey Bruce Public Health,HPV,12,2023-2024,0 doses,29.2
Grey Bruce Public Health,HPV,12,2019-2020,1 dose,9.1
Grey Bruce Public Health,HPV,12,2020-2021,1 dose,7.2
Grey Bruce Public Health,HPV,12,2021-2022,1 dose,4.5
Grey Bruce Public Health,HPV,12,2022-2023,1 dose,4.4
Grey Bruce Public Health,HPV,12,2023-2024,1 dose,13.4
Grey Bruce Public Health,HPV,12,2019-2020,2 doses,67.7
Grey Bruce Public Health,HPV,12,2020-2021,2 doses,65.6
Grey Bruce Public Health,HPV,12,2021-2022,2 doses,69.3
Grey Bruce Public Health,HPV,12,2022-2023,2 doses,70.5
Grey Bruce Public Health,HPV,12,2023-2024,2 doses,57.4
Grey Bruce Public Health,HPV,12,2019-2020,3 or more doses,1.3
Grey Bruce Public Health,HPV,12,2020-2021,3 or more doses,1.1
Grey Bruce Public Health,HPV,12,2021-2022,3 or more doses,0.3
Grey Bruce Public Health,HPV,12,2022-2023,3 or more doses,0.1
Grey Bruce Public Health,HPV,12,2023-2024,3 or more doses,0
Haldimand-Norfolk Health Unit,Measles,7,2019-2020,0 doses,7.2
Haldimand-Norfolk Health Unit,Measles,7,2020-2021,0 doses,15.5
Haldimand-Norfolk Health Unit,Measles,7,2021-2022,0 doses,17.6
Haldimand-Norfolk Health Unit,Measles,7,2022-2023,0 doses,4.7
Haldimand-Norfolk Health Unit,Measles,7,2023-2024,0 doses,6.9
Haldimand-Norfolk Health Unit,Measles,7,2019-2020,1 dose,8.7
Haldimand-Norfolk Health Unit,Measles,7,2020-2021,1 dose,19.9
Haldimand-Norfolk Health Unit,Measles,7,2021-2022,1 dose,20.2
Haldimand-Norfolk Health Unit,Measles,7,2022-2023,1 dose,5.2
Haldimand-Norfolk Health Unit,Measles,7,2023-2024,1 dose,5.1
Haldimand-Norfolk Health Unit,Measles,7,2019-2020,2 or more doses,84.1
Haldimand-Norfolk Health Unit,Measles,7,2020-2021,2 or more doses,64.6
Haldimand-Norfolk Health Unit,Measles,7,2021-2022,2 or more doses,62.2
Haldimand-Norfolk Health Unit,Measles,7,2022-2023,2 or more doses,90.2
Haldimand-Norfolk Health Unit,Measles,7,2023-2024,2 or more doses,88
Haldimand-Norfolk Health Unit,HepB,12,2019-2020,0 doses,16.9
Haldimand-Norfolk Health Unit,HepB,12,2020-2021,0 doses,29.8
Haldimand-Norfolk Health Unit,HepB,12,2021-2022,0 doses,25.8
Haldimand-Norfolk Health Unit,HepB,12,2022-2023,0 doses,25.1
Haldimand-Norfolk Health Unit,HepB,12,2023-2024,0 doses,30.1
Haldimand-Norfolk Health Unit,HepB,12,2019-2020,1 dose,16
Haldimand-Norfolk Health Unit,HepB,12,2020-2021,1 dose,15.9
Haldimand-Norfolk Health Unit,HepB,12,2021-2022,1 dose,12.5
Haldimand-Norfolk Health Unit,HepB,12,2022-2023,1 dose,5.9
Haldimand-Norfolk Health Unit,HepB,12,2023-2024,1 dose,14.2
Haldimand-Norfolk Health Unit,HepB,12,2019-2020,2 doses,61.6
Haldimand-Norfolk Health Unit,HepB,12,2020-2021,2 doses,48.4
Haldimand-Norfolk Health Unit,HepB,12,2021-2022,2 doses,57.4
Haldimand-Norfolk Health Unit,HepB,12,2022-2023,2 doses,65.1
Haldimand-Norfolk Health Unit,HepB,12,2023-2024,2 doses,51
Haldimand-Norfolk Health Unit,HepB,12,2019-2020,3 or more doses,5.5
Haldimand-Norfolk Health Unit,HepB,12,2020-2021,3 or more doses,5.9
Haldimand-Norfolk Health Unit,HepB,12,2021-2022,3 or more doses,4.4
Haldimand-Norfolk Health Unit,HepB,12,2022-2023,3 or more doses,3.9
Haldimand-Norfolk Health Unit,HepB,12,2023-2024,3 or more doses,4.8
Haldimand-Norfolk Health Unit,HPV,12,2019-2020,0 doses,25.5
Haldimand-Norfolk Health Unit,HPV,12,2020-2021,0 doses,36.9
Haldimand-Norfolk Health Unit,HPV,12,2021-2022,0 doses,34.3
Haldimand-Norfolk Health Unit,HPV,12,2022-2023,0 doses,32
Haldimand-Norfolk Health Unit,HPV,12,2023-2024,0 doses,36.2
Haldimand-Norfolk Health Unit,HPV,12,2019-2020,1 dose,15.1
Haldimand-Norfolk Health Unit,HPV,12,2020-2021,1 dose,14.7
Haldimand-Norfolk Health Unit,HPV,12,2021-2022,1 dose,12.1
Haldimand-Norfolk Health Unit,HPV,12,2022-2023,1 dose,4.9
Haldimand-Norfolk Health Unit,HPV,12,2023-2024,1 dose,13.3
Haldimand-Norfolk Health Unit,HPV,12,2019-2020,2 doses,58.3
Haldimand-Norfolk Health Unit,HPV,12,2020-2021,2 doses,48
Haldimand-Norfolk Health Unit,HPV,12,2021-2022,2 doses,53.6
Haldimand-Norfolk Health Unit,HPV,12,2022-2023,2 doses,63.1
Haldimand-Norfolk Health Unit,HPV,12,2023-2024,2 doses,50.4
Haldimand-Norfolk Health Unit,HPV,12,2019-2020,3 or more doses,1.1
Haldimand-Norfolk Health Unit,HPV,12,2020-2021,3 or more doses,0.4
Haldimand-Norfolk Health Unit,HPV,12,2021-2022,3 or more doses,0
Haldimand-Norfolk Health Unit,HPV,12,2022-2023,3 or more doses,0
Haldimand-Norfolk Health Unit,HPV,12,2023-2024,3 or more doses,0.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2019-2020,0 doses,2.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2020-2021,0 doses,1.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2021-2022,0 doses,2.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2022-2023,0 doses,4.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2023-2024,0 doses,4.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2019-2020,1 dose,5.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2020-2021,1 dose,15.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2021-2022,1 dose,18.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2022-2023,1 dose,13.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2023-2024,1 dose,6.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2019-2020,2 or more doses,91.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2020-2021,2 or more doses,82.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2021-2022,2 or more doses,78.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2022-2023,2 or more doses,82.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2023-2024,2 or more doses,89
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2019-2020,0 doses,14.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2020-2021,0 doses,16.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2021-2022,0 doses,15.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2022-2023,0 doses,19.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2023-2024,0 doses,28
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2019-2020,1 dose,38.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2020-2021,1 dose,15
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2021-2022,1 dose,11.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2022-2023,1 dose,12.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2023-2024,1 dose,16.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2019-2020,2 doses,38.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2020-2021,2 doses,62.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2021-2022,2 doses,66.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2022-2023,2 doses,61.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2023-2024,2 doses,51
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2019-2020,3 or more doses,7.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2020-2021,3 or more doses,5.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2021-2022,3 or more doses,6.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2022-2023,3 or more doses,6.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2023-2024,3 or more doses,4.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2019-2020,0 doses,20.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2020-2021,0 doses,22.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2021-2022,0 doses,23.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2022-2023,0 doses,26.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2023-2024,0 doses,34.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2019-2020,1 dose,37.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2020-2021,1 dose,14.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2021-2022,1 dose,10.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2022-2023,1 dose,11.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2023-2024,1 dose,15.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2019-2020,2 doses,40.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2020-2021,2 doses,62.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2021-2022,2 doses,66.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2022-2023,2 doses,62
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2023-2024,2 doses,49.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2019-2020,3 or more doses,1.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2020-2021,3 or more doses,0.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2021-2022,3 or more doses,0.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2022-2023,3 or more doses,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2023-2024,3 or more doses,0
Halton Region Public Health,Measles,7,2019-2020,0 doses,3.6
Halton Region Public Health,Measles,7,2020-2021,0 doses,11.9
Halton Region Public Health,Measles,7,2021-2022,0 doses,21.5
Halton Region Public Health,Measles,7,2022-2023,0 doses,31.6
Halton Region Public Health,Measles,7,2023-2024,0 doses,41.6
Halton Region Public Health,Measles,7,2019-2020,1 dose,13.2
Halton Region Public Health,Measles,7,2020-2021,1 dose,54
Halton Region Public Health,Measles,7,2021-2022,1 dose,40.3
Halton Region Public Health,Measles,7,2022-2023,1 dose,39.1
Halton Region Public Health,Measles,7,2023-2024,1 dose,33.7
Halton Region Public Health,Measles,7,2019-2020,2 or more doses,83.2
Halton Region Public Health,Measles,7,2020-2021,2 or more doses,34.1
Halton Region Public Health,Measles,7,2021-2022,2 or more doses,38.2
Halton Region Public Health,Measles,7,2022-2023,2 or more doses,29.2
Halton Region Public Health,Measles,7,2023-2024,2 or more doses,24.6
Halton Region Public Health,HepB,12,2019-2020,0 doses,10.9
Halton Region Public Health,HepB,12,2020-2021,0 doses,13.8
Halton Region Public Health,HepB,12,2021-2022,0 doses,11.6
Halton Region Public Health,HepB,12,2022-2023,0 doses,15.2
Halton Region Public Health,HepB,12,2023-2024,0 doses,22.8
Halton Region Public Health,HepB,12,2019-2020,1 dose,17.9
Halton Region Public Health,HepB,12,2020-2021,1 dose,18.3
Halton Region Public Health,HepB,12,2021-2022,1 dose,6.9
Halton Region Public Health,HepB,12,2022-2023,1 dose,5.6
Halton Region Public Health,HepB,12,2023-2024,1 dose,10.9
Halton Region Public Health,HepB,12,2019-2020,2 doses,40.4
Halton Region Public Health,HepB,12,2020-2021,2 doses,39.4
Halton Region Public Health,HepB,12,2021-2022,2 doses,50.5
Halton Region Public Health,HepB,12,2022-2023,2 doses,48.6
Halton Region Public Health,HepB,12,2023-2024,2 doses,38.1
Halton Region Public Health,HepB,12,2019-2020,3 or more doses,30.9
Halton Region Public Health,HepB,12,2020-2021,3 or more doses,28.4
Halton Region Public Health,HepB,12,2021-2022,3 or more doses,31.1
Halton Region Public Health,HepB,12,2022-2023,3 or more doses,30.7
Halton Region Public Health,HepB,12,2023-2024,3 or more doses,28.3
Halton Region Public Health,HPV,12,2019-2020,0 doses,18.1
Halton Region Public Health,HPV,12,2020-2021,0 doses,22.5
Halton Region Public Health,HPV,12,2021-2022,0 doses,20.2
Halton Region Public Health,HPV,12,2022-2023,0 doses,26.3
Halton Region Public Health,HPV,12,2023-2024,0 doses,35.2
Halton Region Public Health,HPV,12,2019-2020,1 dose,24.6
Halton Region Public Health,HPV,12,2020-2021,1 dose,23.6
Halton Region Public Health,HPV,12,2021-2022,1 dose,8.9
Halton Region Public Health,HPV,12,2022-2023,1 dose,7.5
Halton Region Public Health,HPV,12,2023-2024,1 dose,13.9
Halton Region Public Health,HPV,12,2019-2020,2 doses,55.8
Halton Region Public Health,HPV,12,2020-2021,2 doses,53.1
Halton Region Public Health,HPV,12,2021-2022,2 doses,70.3
Halton Region Public Health,HPV,12,2022-2023,2 doses,66.1
Halton Region Public Health,HPV,12,2023-2024,2 doses,50.7
Halton Region Public Health,HPV,12,2019-2020,3 or more doses,1.4
Halton Region Public Health,HPV,12,2020-2021,3 or more doses,0.8
Halton Region Public Health,HPV,12,2021-2022,3 or more doses,0.6
Halton Region Public Health,HPV,12,2022-2023,3 or more doses,0.1
Halton Region Public Health,HPV,12,2023-2024,3 or more doses,0.1
City of Hamilton Public Health Services,Measles,7,2019-2020,0 doses,2.6
City of Hamilton Public Health Services,Measles,7,2020-2021,0 doses,3.7
City of Hamilton Public Health Services,Measles,7,2021-2022,0 doses,7.6
City of Hamilton Public Health Services,Measles,7,2022-2023,0 doses,9.7
City of Hamilton Public Health Services,Measles,7,2023-2024,0 doses,25.4
City of Hamilton Public Health Services,Measles,7,2019-2020,1 dose,6.1
City of Hamilton Public Health Services,Measles,7,2020-2021,1 dose,24.6
City of Hamilton Public Health Services,Measles,7,2021-2022,1 dose,26.7
City of Hamilton Public Health Services,Measles,7,2022-2023,1 dose,26.2
City of Hamilton Public Health Services,Measles,7,2023-2024,1 dose,26.7
City of Hamilton Public Health Services,Measles,7,2019-2020,2 or more doses,91.3
City of Hamilton Public Health Services,Measles,7,2020-2021,2 or more doses,71.8
City of Hamilton Public Health Services,Measles,7,2021-2022,2 or more doses,65.7
